date,voltage,current,power,energy,frequency,powerfactor
2/20/2021,206.8,0.06,6.3,0,50,0.49
2/20/2021,208.9,0.05,5.3,0.01,49.9,0.48
2/20/2021,207.3,0.05,4.5,0.01,50,0.46
2/20/2021,210.3,0.04,3.8,0.01,50,0.43
2/20/2021,205,0.04,3.2,0.01,49.9,0.4
2/20/2021,203.1,0.04,2.8,0.01,49.9,0.38
2/20/2021,203.4,0.04,2.4,0.01,49.9,0.34
2/20/2021,204.5,0.03,2.2,0.01,50,0.32
2/20/2021,200.7,0.03,2,0.01,50,0.3
2/20/2021,205,0.03,1,0.01,49.7,0.16
2/20/2021,204.6,0.03,1,0.01,49.9,0.16
2/20/2021,209.3,0.03,1,0.01,50.1,0.15
2/20/2021,203.4,0.08,8.3,0.01,50.1,0.53
2/20/2021,204,0.08,8.3,0.02,50,0.53
2/20/2021,201.4,0.08,8.4,0.02,49.8,0.53
2/20/2021,203.9,0.08,8.5,0.02,50,0.53
2/20/2021,201.9,0.08,8.6,0.02,50,0.54
2/20/2021,198.8,0.08,8.6,0.02,49.9,0.54
2/20/2021,198.5,0.08,8.7,0.03,49.9,0.53
2/20/2021,200.5,0.08,8.7,0.03,50,0.53
2/20/2021,203.1,0.06,6.2,0.03,49.9,0.5
2/20/2021,202.5,0.05,5.2,0.03,49.8,0.48
2/20/2021,202.6,0.05,4.3,0.03,50.1,0.46
2/20/2021,201.5,0.04,3.8,0.03,49.9,0.44
2/20/2021,202.3,0.04,3.8,0.03,50,0.45
2/20/2021,203.9,0.05,4.4,0.04,50,0.47
2/20/2021,205.3,0.04,2.5,0.04,49.7,0.35
2/20/2021,202.3,0.03,0.8,0.04,50.1,0.13
2/20/2021,205.8,0.03,0.8,0.04,49.8,0.13
2/20/2021,207.8,0.03,0.9,0.04,50,0.14
2/20/2021,207.5,0.03,0.9,0.04,50,0.14
2/20/2021,203.4,0.03,0.9,0.04,50,0.14
2/20/2021,204.3,0.03,0.9,0.04,49.9,0.14
2/20/2021,201.5,0.03,1.7,0.04,49.8,0.26
2/20/2021,204.4,0.04,3.2,0.04,50,0.4
2/20/2021,198.6,0.04,3.7,0.04,49.9,0.44
2/20/2021,194.4,0.03,0.8,0.04,49.8,0.14
2/20/2021,191.6,0.03,0.7,0.04,49.4,0.13
2/20/2021,190.8,0.08,8.2,0.04,49.8,0.54
2/20/2021,189.5,0.08,8.2,0.04,50,0.54
2/20/2021,186.1,0.08,8.2,0.04,50,0.55
2/20/2021,187.5,0.08,8.2,0.05,50,0.54
2/20/2021,186.6,0.08,8.2,0.05,49.9,0.54
2/20/2021,189.2,0.08,8.3,0.05,49.8,0.54
2/20/2021,188.1,0.08,8.3,0.05,49.9,0.54
2/20/2021,194.3,0.08,8.4,0.06,49.9,0.53
2/20/2021,190.3,0.08,8.4,0.06,50,0.53
2/20/2021,190.5,0.08,8.4,0.06,49.8,0.54
2/20/2021,191,0.08,8.3,0.06,50,0.54
2/20/2021,189,0.08,7.5,0.06,50,0.53
2/20/2021,194.5,0.06,5.9,0.06,50,0.51
2/20/2021,191.9,0.05,5,0.07,50,0.49
2/20/2021,196.5,0.06,6,0.07,50,0.5
2/20/2021,192.5,0.06,5.9,0.07,50,0.5
2/20/2021,198.8,0.06,6,0.07,50,0.5
2/20/2021,195.1,0.06,5.9,0.07,49.9,0.5
2/20/2021,197.9,0.06,6,0.07,50,0.5
2/20/2021,195.3,0.06,5.9,0.07,49.9,0.5
2/20/2021,194.2,0.06,5.9,0.08,49.9,0.5
2/20/2021,196.6,0.06,6,0.08,50,0.5
2/21/2021,196.7,0.06,5.9,0.08,50,0.49
2/21/2021,196.5,0.06,5.9,0.08,50,0.49
2/21/2021,202.9,0.08,8.5,0.08,50,0.52
2/21/2021,207.1,0.08,8.6,0.08,50.1,0.53
2/21/2021,209.5,0.08,8.6,0.09,50,0.52
2/21/2021,205.9,0.08,8.6,0.09,49.9,0.52
2/21/2021,209.5,0.08,8.6,0.09,50,0.53
2/21/2021,206.8,0.08,8.7,0.09,50,0.53
2/21/2021,203.1,0.08,8.8,0.1,50,0.53
2/21/2021,202.3,0.06,5.6,0.1,49.9,0.5
2/21/2021,207.8,0.04,3.8,0.1,49.8,0.44
2/21/2021,201.2,0.04,2.8,0.1,50,0.39
2/21/2021,204.1,0.04,2.3,0.1,50,0.32
2/21/2021,201.5,0.03,1.2,0.1,49.8,0.19
2/21/2021,199.3,0.03,1.4,0.1,50,0.23
2/21/2021,195.7,0.05,4.9,0.1,50,0.49
2/21/2021,201.2,0.03,1.3,0.1,49.8,0.21
2/21/2021,198.5,0.03,1.1,0.1,49.8,0.18
2/21/2021,200.1,0.03,1.2,0.1,50,0.19
2/21/2021,202.3,0.03,1.2,0.1,49.9,0.19
2/21/2021,204.1,0.08,8.2,0.1,50,0.53
