date,voltage,arus,power,energy,frequency,powerfactor
2/19/2021,202.4,0.16,15.9,0,49.9,0.5
2/19/2021,203.1,0.15,15,0.01,50.1,0.5
2/19/2021,201.7,0.14,14.1,0.01,50,0.5
2/19/2021,204.4,0.13,11.9,0.01,49.9,0.47
2/19/2021,202.2,0.16,16.9,0.01,49.9,0.51
2/19/2021,203.7,0.13,12.1,0.02,49.9,0.47
2/19/2021,199.4,0.14,14.2,0.02,49.8,0.51
2/19/2021,198.1,0.14,14,0.03,49.9,0.5
2/19/2021,197.1,0.13,11.7,0.03,49.9,0.47
2/19/2021,198.1,0.14,13.5,0.07,49.9,0.48
2/19/2021,198.3,0.13,12,0.08,50,0.47
2/19/2021,198.6,0.13,11.9,0.08,50,0.46
2/19/2021,199.2,0.13,11.8,0.09,50,0.46
2/19/2021,201.8,0.16,16.1,0.09,50,0.49
2/19/2021,199,0.13,12.2,0.09,50,0.47
2/19/2021,199.4,0.13,11.7,0.1,49.9,0.46
2/19/2021,196.9,0.16,15.9,0.1,50.1,0.5
2/19/2021,198,0.17,17.3,0.1,50,0.52
2/19/2021,197.5,0.12,11.4,0.1,50.1,0.47
2/19/2021,197,0.13,11.9,0.11,50,0.48
2/19/2021,196.3,0.13,12,0.11,49.9,0.47
2/19/2021,195.4,0.14,13.1,0.11,49.8,0.49
2/19/2021,195.3,0.14,12.8,0.12,50.1,0.48
2/19/2021,194,0.16,15.6,0.12,49.9,0.5
2/19/2021,198.3,0.13,12.1,0.12,49.8,0.47
2/19/2021,197.5,0.13,11.9,0.13,49.9,0.46
2/19/2021,197.1,0.14,13.3,0.13,50,0.48
2/20/2021,208.3,0.17,17.8,0.13,49.9,0.51
2/20/2021,209.9,0.12,11.8,0.14,50,0.46
2/20/2021,208.5,0.12,11.9,0.14,50,0.46
2/20/2021,210.3,0.12,11.8,0.14,50.2,0.46
2/20/2021,208.6,0.13,12.7,0.15,50,0.48
2/20/2021,202.6,0.13,12.5,0.15,50,0.47
2/20/2021,204.5,0.13,12.3,0.15,50,0.48
2/20/2021,203.7,0.05,1.1,0.16,50,0.11
2/20/2021,203.4,0.05,1.1,0.16,50,0.11
2/20/2021,204.9,0.05,1.1,0.16,50,0.1
2/20/2021,206,0.05,1,0.16,49.9,0.09
2/20/2021,204.1,0.05,1,0.16,49.9,0.1
2/20/2021,207.8,0.05,1.1,0.16,50,0.1
2/20/2021,204.3,0.05,1,0.16,50,0.1
2/20/2021,203,0.12,12.2,0.16,49.9,0.48
2/20/2021,201.3,0.14,13.9,0.17,49.8,0.5
2/20/2021,203.8,0.13,12.8,0.17,50.1,0.48
2/20/2021,200.5,0.13,12.1,0.17,49.9,0.48
2/20/2021,202.5,0.15,15.2,0.17,50,0.5
