date,voltage,current,power,energy,frequency,powerfactor
2/18/2021,203,0,9,0,50,1
2/18/2021,203.6,0.08,9,0.01,50,0.56
2/18/2021,203.6,0.08,9,0.01,50,0.56
2/18/2021,204.6,0.08,9,0.01,50,0.56
2/18/2021,204.6,0.08,9,0.01,50,0.56
2/18/2021,204.6,0.08,9,0.01,49.9,0.56
2/18/2021,204.8,0.08,9,0.01,49.9,0.56
2/18/2021,205.5,0.08,9,0.01,50,0.56
2/18/2021,205.8,0.08,9,0.01,50,0.56
2/18/2021,204.7,0.08,9,0.01,49.9,0.56
2/18/2021,200.6,0.08,9,0.01,49.9,0.56
2/18/2021,198.4,0.08,8.9,0.01,50,0.56
2/18/2021,201.9,0.08,9,0.02,50,0.54
2/18/2021,202.5,0.08,9,0.02,50,0.54
2/18/2021,204.5,0.08,9.1,0.02,50,0.55
2/18/2021,209.7,0.08,9.1,0.02,50,0.54
2/18/2021,208,0.08,9,0.03,49.9,0.54
2/19/2021,203.1,0.08,9,0.03,49.9,0.55
2/19/2021,209.6,0.08,9.1,0.03,49.8,0.54
2/19/2021,210.9,0.08,9.1,0.03,49.9,0.55
2/19/2021,207.2,0.08,9,0.04,50,0.54
2/19/2021,209.7,0.08,9.1,0.04,49.9,0.55
2/19/2021,206,0.08,9,0.04,49.8,0.55
2/19/2021,206.9,0.08,9,0.04,50,0.54
2/19/2021,208.5,0.08,9.1,0.04,50.1,0.55
2/19/2021,207,0.08,9,0.05,49.9,0.54
2/19/2021,211.7,0.08,9.1,0.05,49.9,0.54
2/19/2021,211.6,0.08,9.1,0.05,50,0.54
2/19/2021,213.3,0.08,9.1,0.05,50,0.54
2/19/2021,211.9,0.08,9.1,0.06,49.9,0.54
2/19/2021,206,0.08,9,0.06,50,0.54
2/19/2021,207.8,0.08,9.1,0.06,49.9,0.55
2/19/2021,208.9,0.08,9.1,0.06,49.9,0.55
2/19/2021,211.8,0.08,9.1,0.07,50,0.54
2/19/2021,209.3,0.08,9.1,0.07,49.9,0.54
2/19/2021,207.3,0.08,9,0.07,50,0.55
2/19/2021,208.6,0.08,9.1,0.07,49.8,0.55
2/19/2021,206.4,0.08,9,0.07,49.9,0.55
2/19/2021,210.9,0.08,9.1,0.08,49.9,0.55
2/19/2021,211.7,0.08,9.1,0.08,50,0.54
2/19/2021,213.1,0.08,9.2,0.08,49.9,0.55
2/19/2021,210.5,0.08,9.1,0.08,49.9,0.55
2/19/2021,215.5,0.08,9.2,0.09,50,0.54
2/19/2021,215,0.08,9.1,0.09,49.9,0.54
2/19/2021,213.6,0.08,9.1,0.09,50,0.53
2/19/2021,212.3,0.08,9.1,0.09,50,0.54
2/19/2021,212.1,0.08,9.1,0.09,50,0.54
2/19/2021,211.5,0.08,9.1,0.1,50,0.54
2/19/2021,208.7,0.08,9.1,0.1,50.1,0.55
2/19/2021,211.6,0.08,9.1,0.1,49.9,0.54
